key,Model,n_seed,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std,Recall@20_mean,Recall@20_std,NDCG@20_mean,NDCG@20_std,TailRecall@20_mean,TailRecall@20_std,Coverage@20_mean,Coverage@20_std,ARP@20_mean,ARP@20_std,TailExposure@20_mean,TailExposure@20_std,MiddleExposure@20_mean,MiddleExposure@20_std,HeadExposure@20_mean,HeadExposure@20_std
baseline,LightGCN,3,0.07253342121839523,0.0012572970140481074,0.03557549168666204,0.0001743361506536257,0.1286598195632299,0.000546871415373902,0.04969437047839165,0.00020269392167496873,0.00498442390623192,0.0008811300272602644,0.3977733748466837,0.0042634676960826515,6.833073139190674,0.009047017449902507,0.0014611645122085959,6.064108496326414e-05,0.03980223179759143,0.0005649475633051974,0.9587366036902001,0.0006255833683302139
accuracy,PopAware-accuracy,3,0.07706330716609955,0.0009472138564237466,0.0377718023955822,0.0002751916908995975,0.13666997849941254,0.0034613737188291123,0.0527012844880422,0.0006093307399609647,0.014330218856533369,0.0023312509663266454,0.4619303707896971,0.02887989654829171,6.5002749760945635,0.05134966347633029,0.009697823444923212,0.0011120292126119084,0.07322947740581152,0.01328678889565816,0.9170726991492653,0.014380119447813545
best,PopAware-BEST,3,0.07706330716609955,0.0011718720494211532,0.03759197766582171,0.00031775337013173986,0.1337973674138387,0.0029841199978365564,0.05181258668502172,0.0004465022727692273,0.032398754730820656,0.004905923753695705,0.5384470233040853,0.029306115479189477,6.399509429931641,0.041659051114145376,0.03204618274223842,0.0011938775259544433,0.085391117003646,0.010370996120012533,0.8825627002541155,0.011414929643506903
hightail,PopAware-high-tail,3,0.07827864338954289,0.0006249991288054235,0.038197086503108345,0.0001830571500245777,0.13523367047309875,0.0019655792160957588,0.05244081343213717,0.00040161535257967945,0.03987539062897364,0.0023312499707009867,0.4990093405038212,0.00993754683835048,6.563558737436931,0.008155729985480215,0.0362805214893382,0.0013709774272814266,0.05205225941884875,0.0018806526912998028,0.911667219091813,0.0005098647684094856
fairness,PopAware-fairness,3,0.06380510454376538,0.002002493102200311,0.031049519777297974,0.0005129347339117411,0.10523698975642522,0.0038582830527829916,0.04145817086100578,0.0011075089167434048,0.02741433121263981,0.0035245196700113856,0.7134635342956882,0.0026585532226823813,6.13830550511678,0.0008277204822362608,0.04821842890288366,0.0006442447332312303,0.118448237763783,0.0013011517983356324,0.8333333333333334,0.0015564621389705343
