model,seed,embedding_dim,num_layers,lambda_ile,timestamp,Recall@10,NDCG@10,Recall@20,NDCG@20,TailRecall@20,Coverage@20,ARP@20,TailExposure@20,MiddleExposure@20,HeadExposure@20
MostPopular,42,64,,,2026-07-16T09:05:02,0.0399403385818004,0.0191849097609519,0.0720914825797081,0.0272161364555358,0.0,0.049816020379281,7.528143882751465,0.0,0.0,1.0
BPR-MF,42,64,,,2026-07-16T09:05:02,0.0742459371685981,0.0369085222482681,0.1309247612953186,0.05109703540802,0.0109289614483714,0.628078120577413,6.518258094787598,0.0086344050381173,0.1139956910838581,0.8773699038780245
LightGCN,"mean(0,1,42)",64,2.0,,2026-07-16T09:05:02,0.0725334212183952,0.035575491686662,0.1286598195632299,0.0496943704783916,0.0049844239062319,0.3977733748466837,6.833073139190674,0.0014611645122085,0.0398022317975914,0.9587366036902
PopAware-accuracy,"mean(0,1,42)",64,2.0,,2026-07-16T09:05:02,0.0770633071660995,0.0377718023955822,0.1366699784994125,0.0527012844880422,0.0143302188565333,0.4619303707896971,6.5002749760945635,0.0096978234449232,0.0732294774058115,0.9170726991492651
PopAware-BEST,"mean(0,1,42)",64,2.0,,2026-07-16T09:05:02,0.0770633071660995,0.0375919776658217,0.1337973674138387,0.0518125866850217,0.0323987547308206,0.5384470233040853,6.399509429931641,0.0320461827422384,0.085391117003646,0.8825627002541155
PopAware-high-tail,"mean(0,1,42)",64,2.0,,2026-07-16T09:05:02,0.0782786433895428,0.0381970865031083,0.1352336704730987,0.0524408134321371,0.0398753906289736,0.4990093405038212,6.563558737436931,0.0362805214893382,0.0520522594188487,0.911667219091813
PopAware-fairness,"mean(0,1,42)",64,2.0,,2026-07-16T09:05:02,0.0638051045437653,0.0310495197772979,0.1052369897564252,0.0414581708610057,0.0274143312126398,0.7134635342956882,6.13830550511678,0.0482184289028836,0.118448237763783,0.8333333333333334
