Model,Recall@10,NDCG@10,Recall@20,NDCG@20,TailRecall@20,Coverage@20,ARP@20,TailExposure@20,MiddleExposure@20,HeadExposure@20
MostPopular,0.04027179256081581,0.01889406330883503,0.07225720584392548,0.026873059570789337,0.0,0.04981602037928107,7.529199123382568,0.0,0.0,1.0
BPR-MF,0.07424593716859818,0.03690852224826813,0.1309247612953186,0.05109703540802002,0.01092896144837141,0.628078120577413,6.518258094787598,0.008634405038117335,0.11399569108385814,0.8773699038780245
LightGCN,0.07026848196983337,0.034753549844026566,0.1276102066040039,0.049220483750104904,0.0036429872270673513,0.3971129351825644,6.855933666229248,0.0012926748425588332,0.03931057341730196,0.9593967517401392
