epoch,train_loss,val_recall@10,val_recall@20,val_hit_rate@10,val_hit_rate@20,val_ndcg@10,val_ndcg@20
1,0.6939914216689667,0.0036460059649568144,0.007292011929913629,0.0036460059649568144,0.007292011929913629,0.0013579290411455133,0.0022513881927052988
2,0.648932799470549,0.029830957897795246,0.05618163738072531,0.029830957897795246,0.05618163738072531,0.014426840240809353,0.020976838336274013
3,0.42931008822418787,0.044580709307714135,0.07822340071932306,0.044580709307714135,0.07822340071932306,0.02099008294039109,0.029451480419935276
4,0.31241700294891517,0.04772953264091755,0.08153795159767904,0.04772953264091755,0.08153795159767904,0.02246599047474704,0.030930124363995642
5,0.2814735970022431,0.048060987728753155,0.08236658931726804,0.048060987728753155,0.08236658931726804,0.02285276999759445,0.03148559068370071
6,0.2618896087875908,0.04690089492132856,0.08468677493088246,0.04690089492132856,0.08468677493088246,0.022754382107494524,0.03228100092651277
7,0.24280795289617443,0.049883990713083706,0.08435531984551639,0.049883990713083706,0.08435531984551639,0.024967791410122914,0.03363851343494873
8,0.22768943515939982,0.0513755386083439,0.08882996352882744,0.0513755386083439,0.08882996352882744,0.025045763817885914,0.03446928665157992
9,0.21380057121241205,0.05352999667927529,0.09330460721460802,0.05352999667927529,0.09330460721460802,0.026283744404652396,0.036250351004877904
10,0.2016455384861362,0.05634736492711264,0.09661915808925971,0.05634736492711264,0.09661915808925971,0.028544949506244935,0.03861932102238891
11,0.19169024152492337,0.05999337089083469,0.10092807423112247,0.05999337089083469,0.10092807423112247,0.02952373503618755,0.039730180590174274
12,0.1823710137802979,0.06015909843475249,0.10159098449569685,0.06015909843475249,0.10159098449569685,0.03092860870920233,0.04132559544471348
13,0.17524171027888266,0.06264501159228471,0.10424262510700893,0.06264501159228471,0.10424262510700893,0.03168494547978118,0.042148678592860915
14,0.16856267083210275,0.06479946966321609,0.10573417309364183,0.06479946966321609,0.10573417309364183,0.03285606333014781,0.04313664944249152
15,0.16238872347709057,0.06529665229867379,0.1092144514245429,0.06529665229867379,0.1092144514245429,0.033024191666538937,0.044012210519850395
16,0.1581126365914956,0.06645674510362885,0.11186609212722769,0.06645674510362885,0.11186609212722769,0.03349145109412397,0.04484825075181423
17,0.15349515781699016,0.06695392773538225,0.1118660922186004,0.06695392773538225,0.1118660922186004,0.033406068252033454,0.04466619939328149
18,0.14889937247116714,0.06811402054033731,0.11683791844476166,0.06811402054033731,0.11683791844476166,0.034225031593366886,0.046402341818617875
19,0.14582140677736016,0.06927411334652714,0.1188266490582089,0.06927411334652714,0.1188266490582089,0.03470846531090947,0.04711711246435082
20,0.14154959768623596,0.06927411334652714,0.12098110703776757,0.06927411334652714,0.12098110703776757,0.03435666769876321,0.04727341747235533
21,0.1387095808581854,0.0709313887869399,0.1193238316899623,0.0709313887869399,0.1193238316899623,0.03554916840428187,0.047680217848042994
22,0.13515015327326618,0.07176002650529413,0.12164401721837784,0.07176002650529413,0.12164401721837784,0.03568426865799106,0.0482813740074437
23,0.13277477493514267,0.0704342061551865,0.1252900231820999,0.0704342061551865,0.1252900231820999,0.03586128532928487,0.04955424556559903
24,0.12994524989703995,0.07325157440055433,0.1252900230931967,0.07325157440055433,0.1252900230931967,0.03672411641983311,0.049728976231084424
25,0.12776288600922758,0.07374875703230772,0.1264501159895245,0.07374875703230772,0.1264501159895245,0.037089443140480155,0.050274653288013775
26,0.12484944058792487,0.07391448457622551,0.1272787536202103,0.07391448457622551,0.1272787536202103,0.036960176423434035,0.05031613153206382
27,0.12269702447788082,0.07441166720921367,0.12611866099059207,0.07441166720921367,0.12611866099059207,0.03753816080734968,0.05047862211728199
28,0.12047320943824727,0.07457739475436624,0.1254557507260177,0.07457739475436624,0.1254557507260177,0.03782513228460855,0.050558145170649195
29,0.11884112032505202,0.0775604905424171,0.1276102087080459,0.0775604905424171,0.1276102087080459,0.03863887038460958,0.051158972782165274
30,0.11704068108597797,0.0787205833498417,0.1286045739715527,0.0787205833498417,0.1286045739715527,0.03913678685780448,0.05164020001409186
31,0.11505358277415358,0.0782234007180883,0.1294332116911417,0.0782234007180883,0.1294332116911417,0.039173355945909226,0.05206243780385709
32,0.11373452168396718,0.07954922106943069,0.1286045739715527,0.07954922106943069,0.1286045739715527,0.039376113061843465,0.051691953149612745
33,0.11112878164813111,0.08021213124386711,0.1339078554633559,0.08021213124386711,0.1339078554633559,0.03938700283921077,0.05285874426606913
34,0.1100481572818328,0.08037785878531538,0.1320848524802601,0.08037785878531538,0.1320848524802601,0.039481144462658706,0.052419631245873566
35,0.10862527060126549,0.0815379515038368,0.13175339748379725,0.0815379515038368,0.13175339748379725,0.03993855194578532,0.052514834074506626
36,0.10676265455354167,0.08054358632923318,0.1350679482707805,0.08054358632923318,0.1350679482707805,0.03935010024192991,0.05298056675353942
37,0.10490548840399512,0.07872058325723422,0.1370566788891668,0.07872058325723422,0.1370566788891668,0.03959338477558654,0.0542047716909325
38,0.10325278489214422,0.07590321509953481,0.13755386143201703,0.07590321509953481,0.13755386143201703,0.03853523604421178,0.05404203112107814
39,0.10237840806656184,0.07772621799372742,0.13655949616604068,0.07772621799372742,0.13655949616604068,0.0393300476364537,0.05409001483080954
40,0.10146831032861975,0.08004640369994932,0.1345707655476544,0.08004640369994932,0.1345707655476544,0.04033585647685978,0.05402592796169253
41,0.09997196304978336,0.0808750413281656,0.136890951345249,0.0808750413281656,0.136890951345249,0.04022000232426821,0.05428001866915149
42,0.10015724614669926,0.07872058334860693,0.13672522371242804,0.07872058334860693,0.13672522371242804,0.03956549158792129,0.054159301961934206
43,0.09778548196861832,0.08120649650737391,0.1395425919590306,0.08120649650737391,0.1395425919590306,0.04108985294401152,0.05564068115193163
44,0.09708240651641806,0.08004640360857661,0.1360623135342873,0.08004640360857661,0.1360623135342873,0.03953939650107742,0.05362629216259428
45,0.09531949757108744,0.08120649650737391,0.13589658599283902,0.08120649650737391,0.13589658599283902,0.03998608861203754,0.053744640621150766
46,0.0949373361141529,0.0793834934329054,0.1390454093248077,0.0793834934329054,0.1390454093248077,0.039518083518887734,0.05451744799537694
47,0.09426294271553709,0.07971494861211371,0.13854822660168156,0.07971494861211371,0.13854822660168156,0.039037006917351874,0.05379880657175696
48,0.09303792710520825,0.0808750413281656,0.13821677151384598,0.0808750413281656,0.13821677151384598,0.039058398717151874,0.05344784564906926
49,0.09224604080764459,0.08120649650737391,0.14119986739326953,0.08120649650737391,0.14119986739326953,0.039217817165849024,0.05427182534074285
50,0.09181566501782648,0.08104076896469088,0.14186277748003756,0.08104076896469088,0.14186277748003756,0.0390768164005112,0.054304898275389035
