model_name,seed,best_epoch,monitor,best_monitor_value,val_recall@10,val_recall@20,val_hit_rate@10,val_hit_rate@20,val_ndcg@10,val_ndcg@20,test_recall@10,test_recall@20,test_hit_rate@10,test_hit_rate@20,test_ndcg@10,test_ndcg@20
bprmf,42,50,recall@20,0.14186277748003756,0.08104076896469088,0.14186277748003756,0.08104076896469088,0.14186277748003756,0.0390768164005112,0.054304898275389035,0.0740802122053422,0.12877030150559235,0.0740802122053422,0.12877030150559235,0.03646017731910397,0.050112839848702025
bprmf,52,46,recall@20,0.14136559485322323,0.08617832282614266,0.14136559485322323,0.08617832282614266,0.14136559485322323,0.04168990889257317,0.055547383420952195,0.07010275115131502,0.1231355651111685,0.07010275115131502,0.1231355651111685,0.033878541112262205,0.047191961732948304
bprmf,62,50,recall@20,0.142525687749551,0.0802121311524944,0.142525687749551,0.0802121311524944,0.142525687749551,0.03930775690200236,0.0549333253242557,0.07192575413441081,0.12479284054540742,0.07192575413441081,0.12479284054540742,0.03606953420903179,0.0493336471355155
lightgcn,42,50,recall@20,0.11998674178413891,0.071097116334562,0.11998674178413891,0.071097116334562,0.11998674178413891,0.035136659137588545,0.04734696146628005,0.0634736493081694,0.1112031819515565,0.0634736493081694,0.1112031819515565,0.031397207737966684,0.043463810684420554
lightgcn,52,49,recall@20,0.1188266488853416,0.06894265826363061,0.1188266488853416,0.06894265826363061,0.1188266488853416,0.03507632252945138,0.04755377294579049,0.06314219412896109,0.10705999326223879,0.06314219412896109,0.10705999326223879,0.031375276288440536,0.042380341827217456
lightgcn,62,50,recall@20,0.12048392441342277,0.06811402054527638,0.12048392441342277,0.06811402054527638,0.12048392441342277,0.0341628076790168,0.04727054995762164,0.06430228702528887,0.10987736150884138,0.06430228702528887,0.10987736150884138,0.032042654740531834,0.043453660030208126
