epoch,bpr,ile,cl,sec,val_Recall@10,val_NDCG@10,val_Recall@20,val_NDCG@20,val_TailRecall@20,val_Coverage@20,val_ARP@20,val_TailExposure@20,val_MiddleExposure@20,val_HeadExposure@20
1,0.621221455996924,0.0,0.0,2.033386707305908,,,,,,,,,,
2,0.34548381971616815,0.0,0.0,1.9665212631225586,,,,,,,,,,
3,0.3088916163809978,0.0,0.0,1.9413459300994873,,,,,,,,,,
4,0.30367298826684047,0.0,0.0,1.9410982131958008,,,,,,,,,,
5,0.295988045687223,0.0,0.0,1.9301424026489258,0.047066621482372284,0.022684969007968903,0.08369240909814835,0.03182477876543999,0.0021052630618214607,0.09255590150014152,7.514462947845459,0.0018147166058999006,0.0001160092807424594,0.9980692741133577
6,0.2869698087664416,0.0,0.0,1.9850239753723145,,,,,,,,,,
7,0.27555859719749787,0.0,0.0,1.9691619873046875,,,,,,,,,,
8,0.2643198453596909,0.0,0.0,1.965449333190918,,,,,,,,,,
9,0.25614190580200974,0.0,0.0,1.9571521282196045,,,,,,,,,,
10,0.24851777779794956,0.0,0.0,1.9401018619537354,0.05038117244839668,0.02450670301914215,0.08700695633888245,0.03372688591480255,0.0,0.11151995471270874,7.433422565460205,0.0008452104739807756,0.00021544580709313888,0.9989393437189261
11,0.243441633716987,0.0,0.0,1.9517545700073242,,,,,,,,,,
12,0.23847777293111286,0.0,0.0,1.9685266017913818,,,,,,,,,,
13,0.23532021502508735,0.0,0.0,1.9314045906066895,,,,,,,,,,
14,0.2319313977321569,0.0,0.0,1.9837298393249512,,,,,,,,,,
15,0.22794994233298477,0.0,0.0,1.9689738750457764,0.05469008907675743,0.02661530300974846,0.09214451164007187,0.036051396280527115,0.0,0.1403906028870648,7.349277019500732,0.0007126284388465363,0.0005386145177328472,0.9987487570434206
16,0.22575920363412286,0.0,0.0,1.968017816543579,,,,,,,,,,
17,0.22172559841270864,0.0,0.0,1.9238612651824951,,,,,,,,,,
18,0.21948130537558647,0.0,0.0,1.9187610149383545,,,,,,,,,,
19,0.21683666958426037,0.0,0.0,1.9475789070129395,,,,,,,,,,
20,0.21308477908155343,0.0,0.0,2.0198607444763184,0.059496186673641205,0.0291669350117445,0.09695061296224594,0.038541313260793686,0.0021052630618214607,0.1636003396546844,7.289492607116699,0.0007126284388465363,0.0010855154126615844,0.9982018561484919
21,0.20933752882219578,0.0,0.0,1.934563398361206,,,,,,,,,,
22,0.2062978332277632,0.0,0.0,2.0115694999694824,,,,,,,,,,
23,0.20422421526299775,0.0,0.0,1.9721736907958984,,,,,,,,,,
24,0.201417032493292,0.0,0.0,1.9080793857574463,,,,,,,,,,
25,0.19783400967173334,0.0,0.0,1.9996180534362793,0.06330791860818863,0.031150663271546364,0.10473980754613876,0.041504066437482834,0.0021052630618214607,0.19813189923577695,7.227852821350098,0.0009446470003314551,0.0026433543254888964,0.9964119986741796
26,0.19503164008586077,0.0,0.0,2.0158376693725586,,,,,,,,,,
27,0.19340738828164816,0.0,0.0,1.956317663192749,,,,,,,,,,
28,0.19130581943658145,0.0,0.0,2.006746292114258,,,,,,,,,,
29,0.1882636378498843,0.0,0.0,1.964231252670288,,,,,,,,,,
30,0.18632901128191148,0.0,0.0,1.9443986415863037,0.06529664993286133,0.032715506851673126,0.10921444743871689,0.04370586574077606,0.0,0.22700254741013304,7.171248435974121,0.0010689426582698044,0.005137553861451773,0.9937935034802784
31,0.1826629625619763,0.0,0.0,1.9784700870513916,,,,,,,,,,
32,0.1827412098646164,0.0,0.0,1.964510440826416,,,,,,,,,,
33,0.17975905320070085,0.0,0.0,1.9436464309692383,,,,,,,,,,
34,0.17854662315688863,0.0,0.0,1.9697928428649902,,,,,,,,,,
35,0.1763370816942549,0.0,0.0,1.9610228538513184,0.0667881965637207,0.03391296789050102,0.11634073406457901,0.0463033989071846,0.0,0.2550240588734786,7.126933574676514,0.0008949287371561154,0.008029499502817368,0.9910755717600265
36,0.1736838208497876,0.0,0.0,1.9537959098815918,,,,,,,,,,
37,0.1721908489282984,0.0,0.0,1.920147180557251,,,,,,,,,,
38,0.17077622035124007,0.0,0.0,1.9578649997711182,,,,,,,,,,
39,0.1689678765561459,0.0,0.0,1.989692211151123,,,,,,,,,,
40,0.16861364397689374,0.0,0.0,1.964712142944336,0.07093138992786407,0.0350043810904026,0.11982101202011108,0.04726523533463478,0.0,0.2759694310784036,7.081023216247559,0.0008617832283725555,0.010987736161750083,0.9881504806098773
41,0.16706408320987312,0.0,0.0,1.9646861553192139,,,,,,,,,,
42,0.16496391529149382,0.0,0.0,1.965824842453003,,,,,,,,,,
43,0.1640378271576262,0.0,0.0,1.9569621086120605,,,,,,,,,,
44,0.16332802404887484,0.0,0.0,1.9526607990264893,,,,,,,,,,
45,0.15931020785857292,0.0,0.0,1.938464641571045,0.07292012125253677,0.0360008180141449,0.12147828936576843,0.04822840541601181,0.0021052630618214607,0.2904047551655817,7.043445587158203,0.0008369240967848856,0.013995691083858137,0.985167384819357
46,0.15987692120736532,0.0,0.0,1.9625933170318604,,,,,,,,,,
47,0.1584707912954971,0.0,0.0,1.9430654048919678,,,,,,,,,,
48,0.15807212225712128,0.0,0.0,1.901710033416748,,,,,,,,,,
49,0.15803311199602418,0.0,0.0,1.9631240367889404,,,,,,,,,,
50,0.15649475255151735,0.0,0.0,1.9103662967681885,0.07441166788339615,0.03674868494272232,0.1249585673213005,0.04940837249159813,0.0021052630618214607,0.3048400792527597,7.008225440979004,0.0008286377195889957,0.01731852833941001,0.981852833941001
51,0.15495812675378617,0.0,0.0,1.968597412109375,,,,,,,,,,
52,0.15512610536857244,0.0,0.0,1.96994948387146,,,,,,,,,,
53,0.15401195555272765,0.0,0.0,1.9901175498962402,,,,,,,,,,
54,0.1527634690495303,0.0,0.0,2.0043911933898926,,,,,,,,,,
55,0.15086020474886372,0.0,0.0,1.9992496967315674,0.07457739114761353,0.03678511083126068,0.12810738384723663,0.05016373470425606,0.0,0.31050099065949616,6.982573986053467,0.0008534968511766655,0.020077891945641364,0.979068611203182
56,0.1515294757202594,0.0,0.0,2.0181827545166016,,,,,,,,,,
57,0.1501995101027245,0.0,0.0,1.9494388103485107,,,,,,,,,,
58,0.1492653318347722,0.0,0.0,1.9648733139038086,,,,,,,,,,
59,0.14768502594780747,0.0,0.0,1.957327127456665,,,,,,,,,,
60,0.14920802218635587,0.0,0.0,1.9567689895629883,0.07358302921056747,0.03662363439798355,0.13109049201011658,0.051028456538915634,0.0021052630618214607,0.3240871780356637,6.955866813659668,0.0008203513423931057,0.022282068279748095,0.9768975803778588
61,0.14672445261130368,0.0,0.0,1.910893440246582,,,,,,,,,,
62,0.14570271892704234,0.0,0.0,1.9428889751434326,,,,,,,,,,
63,0.14593174542388776,0.0,0.0,1.9777119159698486,,,,,,,,,,
