epoch,bpr,ile,cl,sec,val_Recall@10,val_NDCG@10,val_Recall@20,val_NDCG@20,val_TailRecall@20,val_Coverage@20,val_ARP@20,val_TailExposure@20,val_MiddleExposure@20,val_HeadExposure@20
1,0.6924951037351232,1.4709330338997049e-06,5.578954216337552,5.0270349979400635,,,,,,,,,,
2,0.6914466736960585,1.5842738645637655e-06,5.569926435930015,4.6644861698150635,,,,,,,,,,
3,0.6897461227256886,1.5565096465182991e-06,5.567211920327514,5.001059055328369,,,,,,,,,,
4,0.6874075653779246,1.4550676658244476e-06,5.570837045237965,5.016668081283569,,,,,,,,,,
5,0.6839321742962746,1.4293114531678724e-06,5.574505670227274,4.978516578674316,0.04292343184351921,0.020882073789834976,0.06645674258470535,0.026805540546774864,0.014736841432750225,0.8080951033116331,5.830254077911377,0.04400894928737156,0.2723815048060988,0.6836095459065297
6,0.6785009994994115,1.5849465978164873e-06,5.5863475277476065,4.997479200363159,,,,,,,,,,
7,0.6699084052204216,9.226862362090145e-06,5.597198827423319,4.977049350738525,,,,,,,,,,
8,0.6560405636355825,4.393537408510739e-05,5.626111396037749,4.951274633407593,,,,,,,,,,
9,0.635193361853161,0.0001992906810453754,5.667447006615409,4.925593852996826,,,,,,,,,,
10,0.6052510607851683,0.0005197270911859933,5.731402891395736,4.940980911254883,0.07954922318458557,0.03827080875635147,0.1368909478187561,0.05274732783436775,0.031578946858644485,0.5148598924426833,6.442262649536133,0.016987073251574412,0.07864600596619158,0.904366920782234
11,0.5677307965981699,0.0011141132235137855,5.805964647418391,4.820034742355347,,,,,,,,,,
12,0.5260906319548614,0.001941504739105946,5.881574599412236,4.972360134124756,,,,,,,,,,
13,0.486434200384321,0.002474680364711455,5.948073122623193,5.045502185821533,,,,,,,,,,
14,0.4504674159697373,0.002993104005585948,5.99291193398246,4.961435317993164,,,,,,,,,,
15,0.4214117248563001,0.002998325485569581,6.023541989987784,5.009824275970459,0.08849851042032242,0.041670482605695724,0.15246933698654175,0.05771180987358093,0.04842105135321617,0.465326917633739,6.5023417472839355,0.027510772290354656,0.06173351010938018,0.9107557176002652
16,0.3965979953751947,0.003204221036090517,6.03994384821314,5.00601053237915,,,,,,,,,,
17,0.3772089422619256,0.0030753757823499222,6.048123878284092,5.03521203994751,,,,,,,,,,
18,0.3592040066736458,0.002891594635852295,6.053432234882438,4.9778382778167725,,,,,,,,,,
19,0.3444952329579931,0.002884098049401931,6.0490132770399105,4.995467185974121,,,,,,,,,,
20,0.33203226588938356,0.002636168368202193,6.045992729437613,4.982691287994385,0.09214451164007187,0.043357640504837036,0.15843552350997925,0.059907544404268265,0.052631575614213943,0.49674497594112654,6.4607038497924805,0.030369572422936694,0.07047563805104408,0.8991547895260192
21,0.3204110275654897,0.0025804089457938228,6.042844504335501,5.037992477416992,,,,,,,,,,
22,0.31043198313156184,0.002161081911423618,6.036441402713748,5.059375524520874,,,,,,,,,,
23,0.30144618723514305,0.0021880898640405455,6.0290740702274075,4.861034154891968,,,,,,,,,,
24,0.2938804073925436,0.0022478964195175835,6.019375487835738,4.965674877166748,,,,,,,,,,
25,0.28776855212058466,0.0021440910307548838,6.014305083421025,4.953822135925293,0.09148160368204117,0.04415687173604965,0.15462379157543182,0.060063619166612625,0.05052631348371506,0.53297480894424,6.411567211151123,0.031919124958568114,0.08172025190586675,0.8863606231355652
26,0.2810140863387254,0.001867666683477491,6.007892121363731,4.930401086807251,,,,,,,,,,
27,0.27449410457680695,0.001826592475184109,6.000668195042297,4.9645795822143555,,,,,,,,,,
28,0.26899300744063664,0.0016637797810700418,5.993423705553487,5.015444040298462,,,,,,,,,,
29,0.2644206011382333,0.0013840379960640388,5.989568912199814,4.9306652545928955,,,,,,,,,,
30,0.25926149500547535,0.0016184089792616355,5.98261566579777,4.948723554611206,0.09280742704868317,0.04468487203121185,0.15512098371982574,0.06034795939922333,0.052631575614213943,0.5649589583923011,6.372518062591553,0.03307921776599271,0.09176334106728538,0.8751574411667219
31,0.2565011727983934,0.0013948891447472492,5.972686433444058,4.990240812301636,,,,,,,,,,
32,0.25116358153576396,0.0013550822668436764,5.969001000815064,4.864731550216675,,,,,,,,,,
33,0.24798738728039457,0.0014690584824922658,5.960832762892228,4.763085603713989,,,,,,,,,,
34,0.24406317518140278,0.0012896804482852697,5.955465320253024,4.734891653060913,,,,,,,,,,
35,0.2404553112539932,0.001222330468669592,5.949160464488677,5.039472579956055,0.09479615092277527,0.04578332602977753,0.15445807576179504,0.06071533262729645,0.05052631348371506,0.5898669685819417,6.338185787200928,0.03355154126615843,0.10207159429897249,0.864376864434869
36,0.23715369479499593,0.0012031306029181464,5.944968007776859,5.02387547492981,,,,,,,,,,
37,0.23480894269734404,0.0011835394887996194,5.938914727120504,5.080157041549683,,,,,,,,,,
38,0.23178937258946636,0.0012831510608930993,5.93310469606497,5.047788381576538,,,,,,,,,,
39,0.22783642180644684,0.0011523787924844298,5.9301684163782715,5.061442852020264,,,,,,,,,,
40,0.22613216958341809,0.0010563189540035293,5.92338185762837,4.948095798492432,0.09280742704868317,0.044986531138420105,0.15313224494457245,0.0601533018052578,0.052631575614213943,0.6116614774978771,6.3060078620910645,0.03361783228372556,0.11237156115346371,0.8540106065628107
41,0.2227401079705162,0.0009123952173419362,5.9193609926822415,4.995255470275879,,,,,,,,,,
42,0.22193336530323446,0.0010747288389493942,5.914392123257157,5.08077597618103,,,,,,,,,,
43,0.21835241461322255,0.0010161394344309338,5.910302927894314,5.017682790756226,,,,,,,,,,
44,0.21676912001014625,0.0011646145977152328,5.908623187211308,4.667200803756714,,,,,,,,,,
45,0.21391618458458977,0.001054029627803463,5.903126939369814,4.9118921756744385,0.09164733439683914,0.04498003050684929,0.15429234504699707,0.06064407154917717,0.04842105135321617,0.6320407585621285,6.275019645690918,0.033833278090818694,0.12345873384156447,0.8427079880676168
46,0.21204742082279093,0.0008425569530184262,5.897822856903076,4.97378134727478,,,,,,,,,,
47,0.20991333068287285,0.0008722578000214261,5.894433564513269,4.995457649230957,,,,,,,,,,
48,0.20748020969603184,0.0009484316894632928,5.8926831335917,5.067478656768799,,,,,,,,,,
49,0.20714878742277187,0.0007849673231068929,5.888417062968233,5.026239633560181,,,,,,,,,,
