epoch,bpr,ile,cl,sec,val_Recall@10,val_NDCG@10,val_Recall@20,val_NDCG@20,val_TailRecall@20,val_Coverage@20,val_ARP@20,val_TailExposure@20,val_MiddleExposure@20,val_HeadExposure@20
1,0.6925190226004941,1.2589685035858528e-06,5.577626353632795,4.411128282546997,,,,,,,,,,
2,0.6916092173026426,1.4517184855045081e-06,5.569998525354984,4.167914390563965,,,,,,,,,,
3,0.6901518119512683,9.007573164305198e-07,5.56766096866914,4.275031566619873,,,,,,,,,,
4,0.6880547004024478,5.731465713840463e-07,5.568145671900171,4.394556045532227,,,,,,,,,,
5,0.6848726507521024,1.3098790103580404e-06,5.572859503056881,4.427220821380615,0.03811733424663544,0.01938348263502121,0.058501821011304855,0.02451721951365471,0.008421052247285843,0.8256439286725162,5.79926061630249,0.044588995691083856,0.2831620815379516,0.6722489227709645
6,0.6798516511917114,8.418974180640353e-06,5.582851197597754,4.4261157512664795,,,,,,,,,,
7,0.6714389128406553,4.9459935495298294e-05,5.598591874115659,4.3809404373168945,,,,,,,,,,
8,0.6564210783826173,0.00022983623654849276,5.63183197661908,4.393600225448608,,,,,,,,,,
9,0.6297358409331663,0.0009828512153221144,5.70243657244383,4.473342657089233,,,,,,,,,,
10,0.586683471707532,0.0032284382695033057,5.81361050501357,4.4077982902526855,0.07640039920806885,0.03685031831264496,0.13573086261749268,0.051759593188762665,0.056842103600502014,0.5819416926125106,6.467560768127441,0.03769472986410342,0.06776599270798807,0.8945392774279085
11,0.5314482724579581,0.007266191259216871,5.934332433408194,4.470267057418823,,,,,,,,,,
12,0.4752667072045542,0.010667791369160379,6.03763003941,4.445815324783325,,,,,,,,,,
13,0.4252766227200083,0.012309073752648857,6.114151157601906,4.418222427368164,,,,,,,,,,
14,0.38471895804370404,0.013626693472619692,6.15928033146545,4.080472707748413,,,,,,,,,,
15,0.35217850073410645,0.01335163580348892,6.18994690205929,4.390783071517944,0.0826980471611023,0.039326198399066925,0.15263506770133972,0.056914813816547394,0.06736841797828674,0.49589583923011604,6.5821852684021,0.04118329466357309,0.04610540271793172,0.9127113026184952
16,0.325365775693072,0.013633976024269622,6.201858384765848,4.4213433265686035,,,,,,,,,,
17,0.303383395619636,0.012989268260905995,6.205935659199736,4.415507078170776,,,,,,,,,,
18,0.2852540570889076,0.011966189264190675,6.2095054118302615,4.122844696044922,,,,,,,,,,
19,0.27033622269212765,0.011346715038479135,6.206429335322693,4.016463279724121,,,,,,,,,,
