epoch,train_loss,val_recall@10,val_recall@20,val_hit_rate@10,val_hit_rate@20,val_ndcg@10,val_ndcg@20
1,0.44456746622267795,0.04623798474689213,0.08120649650737391,0.04623798474689213,0.08120649650737391,0.022383977024068018,0.031105388845553215
2,0.31694353736844494,0.045906529660291295,0.08137222405129171,0.045906529660291295,0.08137222405129171,0.02209082929393413,0.030919471512992215
3,0.3115185263407483,0.046403712290809924,0.08054358633170272,0.046403712290809924,0.08054358633170272,0.02224178181761764,0.030746775227057092
4,0.30633919043582136,0.045409347027303135,0.08070931387562051,0.045409347027303135,0.08070931387562051,0.02178939150996385,0.030617648609078875
5,0.30339029471051004,0.046403712290809924,0.08054358633170272,0.046403712290809924,0.08054358633170272,0.02220658387897433,0.03073044199240911
6,0.3018671962546206,0.045906529659056526,0.08104076896345612,0.045906529659056526,0.08104076896345612,0.022107990351491687,0.03089574308936905
7,0.29958823437754056,0.04607225720297433,0.08120649650737391,0.04607225720297433,0.08120649650737391,0.022103411126060717,0.0308731071074346
8,0.29547810158896193,0.04607225720297433,0.08120649650737391,0.04607225720297433,0.08120649650737391,0.02230161264659772,0.031080506695696838
9,0.29284667512701507,0.046735167377410756,0.08070931387562051,0.046735167377410756,0.08070931387562051,0.02255663348168609,0.031068771939883968
10,0.2844487707755155,0.04789526018483535,0.0830294994904697,0.04789526018483535,0.0830294994904697,0.02284099978361159,0.03159022669810746
11,0.2737867227861378,0.04938680808133031,0.08452104738696466,0.04938680808133031,0.08452104738696466,0.023818408169610474,0.0325748147476893
12,0.262828297695644,0.048889625449576916,0.08468677483827498,0.048889625449576916,0.08468677483827498,0.02323418828687468,0.03223152205972807
13,0.2553932299117248,0.049055352993494714,0.08551541255786398,0.049055352993494714,0.08551541255786398,0.023054487420444185,0.032247460577828346
14,0.2518882269521799,0.049883990713083706,0.08534968501394617,0.049883990713083706,0.08534968501394617,0.02318909618772633,0.03209381378547498
