model,seed,embedding_dim,num_layers,lambda_ile,timestamp,Recall@10,NDCG@10,Recall@20,NDCG@20,TailRecall@20,Coverage@20,ARP@20,TailExposure@20,MiddleExposure@20,HeadExposure@20
LightGCN,42,128,3,0.0,2026-07-14T23:23:14,0.06761683523654938,0.03437652811408043,0.12263838201761246,0.04814423620700836,0.0018691589357331395,0.35210868949900936,6.921233177185059,0.0008286377195889957,0.029441498176997018,0.969729864103414
LightGCN+ILE,42,128,3,0.1,2026-07-14T23:27:48,0.06728538125753403,0.03394397720694542,0.12081538140773773,0.047303106635808945,0.005607476457953453,0.3679592414378715,6.938376426696777,0.0021958899569108387,0.02876201524693404,0.9690420947961551
LightGCN+ILE,42,128,3,0.5,2026-07-14T23:32:22,0.06711965799331665,0.033785488456487656,0.12098110467195511,0.04720078408718109,0.011214952915906906,0.4169261251061421,6.920108318328857,0.006040768975803778,0.04212794166390454,0.9518312893602917
LightGCN+ILE,42,128,3,1.0,2026-07-14T23:36:56,0.06612528860569,0.0334487110376358,0.11882665008306503,0.0466470941901207,0.011214952915906906,0.45372204924992926,6.892600059509277,0.009289028836592642,0.06097944978455419,0.9297315213788532
LightGCN+ILE,42,128,3,2.0,2026-07-14T23:41:30,0.06513092666864395,0.03240666911005974,0.11766655743122101,0.04551757872104645,0.013084111735224724,0.4916501556750637,6.840775489807129,0.014119986741796486,0.09424096784885648,0.891639045409347
LightGCN+ILE,42,128,3,5.0,2026-07-14T23:46:04,0.0647994726896286,0.03155744820833206,0.11103745549917221,0.043122049421072006,0.018691588193178177,0.5219360317011039,6.750488758087158,0.02117169373549884,0.15391117003646007,0.8249171362280411
